Record_ID,Timestamp,Scenario,Machine_ID,Machine_Type,Machine_Model_Class,Engine_Hours,Machine_Age,Engine_Temperature,Hydraulic_Temperature,Machine_Speed,Fuel_Consumption,Machine_Health_Score,Engine_Load_Percentage,Operator_ID,Experience_Level,Years_Experience,Operating_Shift,Historical_Efficiency,Historical_Idle_Time,Training_Score,Previous_Safety_Events,Operator_Skill_Score,Load_Weight,Load_Percentage,Load_Cycles,Idle_Time,Operating_Mode,Travel_Direction,Harsh_Acceleration,Harsh_Braking,Rapid_Control_Input,Control_Smoothness,Proximity_Violations,Seatbelt_Status,Proximity_Distance,Obstacle_Type,Blind_Zone_Entry,Ground_Slope,Safety_Zone_Status,Emergency_Stop,Safety_Event,Weather,Visibility,Ambient_Temperature,Dust_Level,Ground_Condition,Terrain_Type,Working_Zone,Lighting_Condition,Task_ID,Task_Type,Task_Complexity,Target_Quantity,Completed_Quantity,Historical_Task_Duration,Current_Task_Progress,Estimated_Task_Duration,Actual_Task_Duration,Total_Fuel_Used,Safety_Risk_Score,Safety_Risk_Level,Operator_Anomaly,Anomaly_Score,Anomaly_Reason,Task_Completion_Time,Incident_Type,Fuel_Efficiency
R007622,2026-03-01 15:32,HIGH_FUEL_CONSUMPTION,WHL-307,Wheel Loader,Large Wheel Loader,3983.7,3.0,80.9,63.0,6.92,26.92,81.1,64.7,OP1100,Experienced,5.4,Afternoon,64.4,23.0,77.5,1,59.4,5.1,74.0,105,17.3,Power,Forward,2,0,6,71.0,2,Fastened,14.25,Material_Pile,0,0.4,Clear,0,0,Clear,83.2,30.5,37.2,Dry,Flat,Zone D,Dawn_Dusk,TSK-007622,Stockpiling,2,534.3,534.3,107.9,0.706,89.6,88.6,39.4,23.7,LOW,1,0.7106,Abnormal_Fuel,25.7,No_Incident,13.58
R004178,2026-03-02 08:32,NORMAL_OPERATION,EXC-224,Excavator,Large Excavator (30t class),14744.2,9.3,86.6,66.4,0.37,26.69,56.6,82.1,OP1026,Novice,1.9,Morning,68.4,13.6,65.5,2,39.0,2.41,79.5,158,9.1,Power,Swinging,1,1,7,78.9,2,Fastened,7.71,Vehicle,0,8.5,Clear,0,0,Clear,98.3,28.7,8.2,Dry,Embankment,Zone E,Daylight,TSK-004178,Excavation,2,380.3,380.3,88.3,0.947,76.1,74.9,33.2,28.0,LOW,0,0.1389,Normal,4.4,No_Incident,11.44
R036264,2026-03-02 14:22,EXCESSIVE_IDLE,EXC-218,Excavator,Medium Excavator (20t class),8013.9,7.0,80.9,56.3,0.26,11.4,70.7,54.8,OP1023,Intermediate,2.4,Afternoon,70.1,14.9,62.0,0,41.4,1.42,69.9,464,61.0,Eco,Swinging,4,0,13,75.9,3,Fastened,18.64,Structure,0,3.5,Clear,0,0,Fog,41.6,25.3,31.2,Dry,Gentle_Slope,Zone E,Dawn_Dusk,TSK-036264,Excavation,4,658.0,658.0,198.2,0.853,175.5,353.7,68.8,15.7,LOW,1,0.5214,Excessive_Idle,53.8,No_Incident,9.56
R027292,2026-03-03 07:08,POOR_WEATHER,WHL-310,Wheel Loader,Medium Wheel Loader,4462.1,3.21,81.1,56.1,7.15,11.31,77.3,63.1,OP1091,Expert,18.7,Morning,83.4,23.6,66.4,1,71.3,3.28,73.6,316,43.9,Standard,Reverse,3,2,16,93.7,1,Fastened,9.68,Structure,0,2.2,Clear,0,0,Dust_Wind,48.3,28.1,79.1,Dry,Haul_Road,Zone B,Daylight,TSK-027292,Loading,1,1033.4,1033.4,252.1,0.355,221.1,222.5,42.8,21.5,LOW,0,0.0623,Normal,145.0,No_Incident,24.14
R039623,2026-03-03 22:23,EFFICIENT_OPERATION,WHL-307,Wheel Loader,Large Wheel Loader,3999.4,3.01,81.3,55.8,0.61,15.62,80.1,61.1,OP1082,Experienced,5.9,Night,79.8,42.4,74.9,1,72.2,4.95,72.5,234,54.1,Standard,Stationary,0,2,15,87.3,3,Fastened,17.72,No_Object,0,0.5,Clear,0,0,Hot,59.2,26.4,46.2,Dry,Haul_Road,Zone F,Night_Floodlit,TSK-039623,Material_Transfer,3,1155.6,1155.6,265.7,0.12,222.8,253.9,66.6,6.9,LOW,0,0.0277,Normal,217.0,No_Incident,17.35
R037687,2026-03-04 09:44,NORMAL_OPERATION,EXC-203,Excavator,Large Excavator (30t class),12984.6,8.61,83.9,63.6,2.44,21.45,56.7,74.1,OP1097,Experienced,7.0,Morning,82.4,37.3,79.2,2,80.2,2.12,72.3,165,41.5,Power,Forward,2,0,2,93.7,1,Fastened,6.19,Worker,0,0.0,Clear,0,0,Light_Rain,57.2,23.8,8.6,Wet,Flat,Zone C,Dawn_Dusk,TSK-037687,Trenching,4,349.7,349.7,96.7,0.204,90.9,155.6,58.2,24.3,LOW,0,0.0771,Normal,129.8,No_Incident,6.01
R013746,2026-03-04 18:16,HIGH_FUEL_CONSUMPTION,EXC-203,Excavator,Large Excavator (30t class),12983.6,8.61,86.9,68.9,1.49,24.19,57.8,80.1,OP1097,Experienced,7.0,Afternoon,82.4,37.3,79.2,2,80.2,1.69,52.5,377,92.7,Power,Forward,1,3,37,93.9,1,Unfastened,9.77,Worker,0,16.1,Clear,0,0,Dust_Wind,49.9,30.9,77.7,Dry,Embankment,Zone A,Daylight,TSK-013746,Excavation,4,638.3,638.3,157.8,0.243,127.7,370.1,148.7,55.5,HIGH,0,0.3959,Normal,283.3,No_Incident,4.29
R034326,2026-03-05 09:17,NORMAL_OPERATION,WHL-307,Wheel Loader,Large Wheel Loader,4010.8,3.01,81.8,63.4,4.97,17.99,85.9,69.8,OP1005,Intermediate,2.4,Morning,65.2,24.2,62.2,1,29.4,6.06,83.5,114,30.3,Standard,Reverse,3,1,14,65.2,4,Fastened,8.01,Worker,0,11.1,Clear,0,1,Hot,96.4,34.8,38.4,Loose,Stockpile,Zone D,Daylight,TSK-034326,Material_Transfer,3,690.3,690.3,169.3,0.799,133.1,170.9,53.7,54.5,MEDIUM,0,0.1479,Normal,34.7,Stability_Loss,12.86
R011075,2026-03-05 10:03,STEEP_TERRAIN,EXC-208,Excavator,Large Excavator (30t class),5091.0,3.81,83.5,64.4,0.65,15.27,82.4,80.9,OP1110,Experienced,5.6,Morning,67.3,36.6,67.0,2,62.7,3.04,94.6,260,79.7,Eco,Swinging,1,1,15,81.4,2,Fastened,5.46,Material_Pile,0,15.7,Warning,0,0,Clear,89.2,29.1,20.1,Loose,Embankment,Zone E,Daylight,TSK-011075,Excavation,3,787.6,787.6,251.3,0.461,157.5,236.6,62.1,54.6,MEDIUM,0,0.068,Normal,130.5,No_Incident,12.69
R007551,2026-03-06 17:07,HIGH_LOAD_OPERATION,EXC-209,Excavator,Medium Excavator (20t class),9836.9,8.31,80.9,62.4,0.45,16.03,79.7,69.3,OP1059,Expert,10.4,Afternoon,84.7,19.6,83.4,5,71.9,2.02,101.9,356,27.1,Standard,Swinging,2,0,17,82.5,2,Fastened,7.25,Vehicle,0,1.6,Clear,0,0,Fog,29.1,32.4,45.8,Dry,Haul_Road,Zone B,Daylight,TSK-007551,Loading,2,717.5,717.5,183.3,0.534,181.8,156.6,40.8,12.4,LOW,0,0.0677,Normal,76.2,No_Incident,17.61
